"Unknown","Unknown","I'm not sure","I don't know"
"Sildenafil 25 mg Oral Tablet","Sildenafil 25 mg Oral Tablet"
"Sildenafil 50 mg Oral Tablet","Sildenafil 50 mg Oral Tablet"
"Sildenafil 100 mg Oral Tablet","Sildenafil 100 mg Oral Tablet"
"Sildenafil 20 mg Oral Tablet","Sildenafil 20 mg Oral Tablet"
"12.5 ml Sildenafil 0.8 mg/ml injection","12.5 ml Sildenafil 0.8 mg/ml injection"
"Sildenafil 10 mg/ml Oral Suspension","Sildenafil 10 mg/ml Oral Suspension"
"Acetaminophen 300mg / Hydrocodone Bitartrate 5 mg Oral Tablet","Acetaminophen 300 mg / Hydrocodone Bitartrate 5 mg Oral Tablet"
"Acetaminophen 300 mg / Hydrocodone Bitartrate 7.5 mg Oral Tablet","Acetaminophen 300 mg / Hydrocodone Bitartrate 7.5 mg Oral Tablet"
"Acetaminophen 300 mg / Hydrocodone Bitartrate 10 mg Oral Tablet","Acetaminophen 300 mg / Hydrocodone Bitartrate 10 mg Oral Tablet"
"Acetaminophen 325 mg / Hydrocodone Bitartrate 10 mg Oral Tablet","Acetaminophen 300 mg / Hydrocodone Bitartrate 10 mg Oral Tablet"

